P,tot_time,communication_time,computation_time,img_name
1,13.149863,NULL,NULL,8049.csv
2,8.437029,0.000604,8.436640,8049.csv
4,1.859047,0.001741,1.857719,8049.csv
8,0.587424,0.002392,0.585704,8049.csv
16,0.206824,0.002891,0.204787,8049.csv
32,0.205632,0.002606,0.203586,8049.csv
64,0.210648,0.003427,0.208659,8049.csv
128,0.175258,0.004246,0.172742,8049.csv
4,1676.716993,0.006838,1676.714729,index.csv
8,504.368370,0.007988,504.366930,index.csv
16,30.739976,0.006647,30.733330,index.csv
32,7.797531,0.008163,7.791372,index.csv
64,2.987744,0.010190,2.982697,index.csv
128,1.945760,0.013192,1.940136,index.csv
256,1.785125,0.014008,1.779268,index.csv
1,
2,235.607099,0.000987,235.606111,index_small.csv
4,
8,
32,
